#timestamp x y z qx qy qz qw
91.120000 6.921612 2.191327 1.865310 -0.720502 -0.102202 0.213662 0.651752
92.120000 6.815293 2.486305 1.854105 -0.708975 -0.133994 0.247443 0.646662
93.120000 6.683754 2.801533 1.840415 -0.697339 -0.165268 0.281579 0.638058
94.120000 6.545134 3.080805 1.797750 -0.682290 -0.196559 0.314934 0.629811
95.120000 6.364563 3.351787 1.760828 -0.665432 -0.227745 0.347198 0.620311
96.120000 6.161304 3.621125 1.731038 -0.648122 -0.257244 0.379075 0.608330
97.120000 5.897847 3.880460 1.705064 -0.628778 -0.288036 0.410376 0.594361
98.120000 5.604424 4.091347 1.705348 -0.608380 -0.317686 0.440212 0.578932
99.124000 5.252206 4.195615 1.687434 -0.584084 -0.345423 0.467471 0.566568
100.220000 4.843010 4.317186 1.743658 -0.559582 -0.375714 0.498473 0.545189
101.224000 4.463805 4.355990 1.775610 -0.534569 -0.402820 0.523828 0.526856
102.324000 4.046743 4.378976 1.798486 -0.505048 -0.431321 0.552176 0.503974
103.420000 3.631758 4.304877 1.827191 -0.473343 -0.457901 0.576777 0.483323
104.420000 3.268620 4.231331 1.864404 -0.445184 -0.481571 0.598179 0.460524
105.420000 2.889702 4.165448 1.870924 -0.414042 -0.503191 0.621098 0.435437
106.420000 2.559640 4.033872 1.870794 -0.381081 -0.523133 0.640428 0.413475
107.420000 2.227454 3.863429 1.939167 -0.349972 -0.543465 0.657045 0.387889
108.420000 1.922772 3.660570 1.976164 -0.316722 -0.560569 0.673233 0.363603
109.420000 1.640111 3.459367 2.028622 -0.283104 -0.577401 0.688667 0.334960
110.420000 1.399171 3.220504 2.084215 -0.249123 -0.594056 0.700421 0.307321
111.420000 1.152334 2.955857 2.129222 -0.214127 -0.608961 0.711315 0.278114
112.420000 0.942633 2.679529 2.174325 -0.177736 -0.621693 0.720832 0.249618
113.420000 0.733762 2.419247 2.239470 -0.142254 -0.634105 0.728728 0.215939
114.420000 0.612433 2.119185 2.294205 -0.106885 -0.642639 0.735201 0.187270
115.420000 0.509387 1.825282 2.377921 -0.070662 -0.652057 0.738577 0.155986
116.420000 0.404776 1.528144 2.466505 -0.035111 -0.659277 0.741114 0.121943
117.420000 0.358035 1.218993 2.541886 0.001414 -0.665006 0.741308 0.090707
118.420000 0.341310 0.933972 2.590273 0.038225 -0.667548 0.741187 0.059669
119.440000 0.351583 0.626294 2.630363 0.075209 -0.670130 0.737952 0.026404
120.536000 0.392036 0.309043 2.662498 0.114797 -0.670517 0.732894 -0.009763
121.540000 0.474931 0.022311 2.687635 0.150044 -0.669975 0.725888 -0.041318
