#timestamp x y z qx qy qz qw
133.336000 -5.829227 -6.248395 2.819998 -0.021655 0.723840 -0.674173 -0.145184
134.336000 -5.190999 -6.349964 2.629962 -0.014724 0.723376 -0.676864 -0.135519
135.336000 -4.547693 -6.407180 2.514075 -0.012364 0.724616 -0.677502 -0.125579
136.336000 -3.894440 -6.434247 2.378973 0.002730 0.727796 -0.676984 -0.109538
137.336000 -3.552844 -6.228216 2.362137 0.001684 0.717965 -0.687217 -0.110706
138.336000 -3.410996 -5.608428 2.394906 -0.004087 0.724259 -0.679760 -0.115582
139.336000 -3.317608 -4.982028 2.457262 -0.008596 0.727672 -0.675744 -0.117432
140.336000 -3.208999 -4.309129 2.526723 -0.009638 0.727796 -0.675393 -0.118594
141.336000 -3.116500 -3.679304 2.629288 -0.006923 0.729737 -0.673233 -0.119133
142.336000 -2.994453 -3.059201 2.751535 -0.004946 0.731181 -0.671205 -0.121794
143.336000 -2.873427 -2.414282 2.871272 -0.005409 0.730430 -0.671593 -0.124122
144.336000 -2.773626 -1.798935 2.999327 -0.005932 0.729922 -0.671582 -0.127108
145.336000 -2.674869 -1.177209 3.133445 -0.005655 0.729423 -0.671531 -0.130219
146.336000 -2.602915 -0.541076 3.206088 -0.005795 0.728039 -0.672774 -0.131533
147.336000 -2.499407 0.134652 3.256986 -0.006894 0.724669 -0.675752 -0.134785
148.336000 -2.360579 0.788151 3.319301 -0.005540 0.724284 -0.676025 -0.135545
149.336000 -2.255196 1.459238 3.332392 -0.003780 0.722760 -0.678150 -0.133102
150.336000 -2.160076 2.146504 3.308303 -0.002150 0.720755 -0.680965 -0.129596
151.336000 -2.047735 2.837430 3.338269 0.007409 0.726930 -0.675462 -0.123571
152.336000 -1.938793 3.529857 3.368702 0.004409 0.724810 -0.678578 -0.119006
153.336000 -1.858927 4.242429 3.355240 0.008688 0.722812 -0.679728 -0.124245
154.336000 -1.748979 4.967756 3.367490 0.006465 0.719241 -0.683051 -0.126853
155.336000 -1.670208 5.691486 3.442023 0.007632 0.720630 -0.681992 -0.124584
156.336000 -1.587316 6.412245 3.538967 0.009367 0.722541 -0.679858 -0.125062
157.336000 -1.486222 7.133751 3.628250 0.009692 0.734532 -0.667572 -0.121310
158.336000 -1.251126 7.569668 3.623720 -0.008385 0.741355 -0.655964 -0.141542
159.336000 -0.642943 7.594446 3.535927 -0.002728 0.737767 -0.662040 -0.131894
160.336000 0.048591 7.492030 3.427222 -0.003698 0.737564 -0.662842 -0.128942
161.336000 0.749725 7.350148 3.258145 -0.004552 0.738568 -0.661705 -0.129010
162.336000 1.375977 7.183029 3.089785 0.017999 0.732773 -0.671979 -0.105665
163.336000 1.593452 6.832019 2.966969 0.008724 0.750112 -0.650925 -0.116412
164.340000 1.535429 6.228259 2.833294 0.003649 0.745800 -0.654946 -0.121712
165.340000 1.413639 5.570387 2.782901 -0.000166 0.747552 -0.652880 -0.122121
166.340000 1.323497 4.958165 2.620378 0.000147 0.743951 -0.656490 -0.124728
167.340000 1.215972 4.318454 2.533259 -0.000296 0.743340 -0.657213 -0.124570
168.340000 1.115783 3.655670 2.441492 -0.000128 0.742931 -0.657565 -0.125143
169.340000 1.023647 2.968162 2.375887 -0.002133 0.745188 -0.654968 -0.125328
170.340000 0.925706 2.246799 2.288946 -0.001244 0.746175 -0.653910 -0.124995
171.340000 0.810878 1.541167 2.202438 -0.002232 0.745841 -0.654317 -0.124845
172.340000 0.680517 0.818315 2.117694 -0.003004 0.745721 -0.654351 -0.125362
173.340000 0.551156 0.089380 2.023180 -0.001010 0.745279 -0.654435 -0.127566
174.340000 0.405720 -0.635573 1.951809 0.004662 0.749162 -0.650237 -0.126198
175.340000 0.212078 -1.351503 1.855749 0.005443 0.748947 -0.650775 -0.124664
176.340000 0.018994 -2.073067 1.772291 0.003099 0.749179 -0.650678 -0.123855
177.340000 -0.182742 -2.835045 1.751218 0.000490 0.755026 -0.644600 -0.120110
178.340000 -0.366273 -3.533653 1.650934 -0.004062 0.754478 -0.645557 -0.118332
179.340000 -0.495528 -4.273040 1.568891 -0.005971 0.754120 -0.645460 -0.121031
180.340000 -0.640732 -5.053598 1.569000 -0.014613 0.758663 -0.640298 -0.119314
181.340000 -0.753265 -5.784394 1.524477 -0.014963 0.757434 -0.641552 -0.120338
182.340000 -0.843064 -6.439614 1.437489 -0.019761 0.745858 -0.654988 -0.119568
183.340000 -0.699898 -6.909184 1.413685 -0.044148 0.740595 -0.656206 -0.137710
184.340000 -0.152167 -7.065783 1.341161 -0.031661 0.749876 -0.649271 -0.123005
